target_coverage,certified_alpha,lambda,b2_served_m,jitter_applied,achieved_test_coverage,test_served_risk,test_risk_ci_lo,test_risk_ci_hi,guarantee_held,served_NDCG@10,served_NDCG10_ci_lo,served_NDCG10_ci_hi,served_HR@10,served_MRR,selective_gain,gain_ci_lo,gain_ci_hi,selnet_noguar_coverage,selnet_noguar_risk,selnet_noguar_NDCG
0.9,0.886967,0.09633,209,False,0.8983,0.880217,0.864039,0.89753,True,0.119783,0.10247,0.135961,0.2254,0.110126,0.005493,-0.018322,0.029694,0.8983,0.881662,0.118338
0.8,0.881282,0.157358,183,False,0.8119,0.880722,0.863195,0.897415,True,0.119278,0.102585,0.136805,0.225316,0.109519,0.004988,-0.019543,0.031227,0.8119,0.879009,0.120991
0.7,0.872833,0.223001,161,False,0.7338,0.876043,0.856525,0.894734,False,0.123957,0.105266,0.143475,0.232493,0.113092,0.009667,-0.015958,0.037165,0.7338,0.874592,0.125408
0.6,0.853299,0.295296,137,False,0.6331,0.874361,0.853941,0.895075,False,0.125639,0.104925,0.146059,0.23539,0.11391,0.011349,-0.017289,0.039794,0.6331,0.870845,0.129155
0.5,0.844939,0.366185,114,False,0.5365,0.866994,0.844297,0.890226,False,0.133006,0.109774,0.155703,0.249042,0.119365,0.018716,-0.011883,0.050196,0.5365,0.867959,0.132041
