domain,sample_count,best_baseline_by_ndcg10,NDCG@10,HR@10,MRR
beauty,973,proex,0.150589,0.252826,0.142936
books,10000,llmemb,0.273658,0.472200,0.233151
electronics,10000,llmemb,0.119634,0.245000,0.106702
movies,10000,llmemb,0.168960,0.333600,0.144320
sports,10000,llmemb,0.179500,0.338400,0.153883
toys,10000,llmemb,0.204850,0.350500,0.181380
home,10000,llmemb,0.093906,0.185600,0.090123
tools,10000,llmemb,0.115944,0.225700,0.106494
